Software Version: bsiprrinterface version 3.0.14, Measured Parameters recorded in: Calibrated Units, Ignoring data after range change in averages
Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395,Ed0PAR,Ed0Temp,Ed0Vin, # averaged, UVINDEX, , , 
ChannelType,0,1,2,5,6,10,17,18,22,27
Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Units,V,µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µE/(cm²sec),°C,V
Equation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Comment,lamp V-032,solar calibration completed 3/24/16,solar calibration completed 3/24/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,n/a,n/a
2/19/2020 12:14:44 AM,-0.0000111,1.181903E-04,2.323269E-05,4.439511E-05,5.598276E-05,7.452595E-05,3.962162E-05,4.676697E-07,40.00259,18.12082, 175, 9.94702646426958E-05, 9.94702646426958E-05, 9.94702646426958E-05, 9.94702646426958E-05
2/19/2020 12:15:04 AM,-1.085E-05,1.174444E-04,2.674495E-05,4.776732E-05,5.793325E-05,9.080011E-05,4.045315E-05,4.613463E-07,39.98186,18.12085, 175, 9.93155234635196E-05, 9.93155234635196E-05, 9.93155234635196E-05, 9.93155234635196E-05
2/19/2020 12:15:24 AM,-1.115E-05,1.232131E-04,1.442125E-05,4.781169E-05,6.547033E-05,9.024468E-05,3.941374E-05,4.588386E-07,40.0374,18.12091, 175, 1.02971008682198E-04, 1.02971008682198E-04, 1.02971008682198E-04, 1.02971008682198E-04
2/19/2020 12:15:44 AM,-1.025E-05,1.383808E-04,6.870714E-05,9.582132E-05,1.318351E-04,1.630618E-04,9.677224E-05,4.586161E-07,40.03921,18.1209, 175, 1.22433232039475E-04, 1.22433232039475E-04, 1.22433232039475E-04, 1.22433232039475E-04
2/19/2020 12:16:04 AM,-9.75E-06,1.187373E-04,1.802593E-05,4.415107E-05,6.055798E-05,9.202206E-05,4.249734E-05,4.552267E-07,40.05414,18.121, 175, 9.9501248620254E-05, 9.9501248620254E-05, 9.9501248620254E-05, 9.9501248620254E-05
2/19/2020 12:16:24 AM,-0.0000102,1.207763E-04,3.266032E-05,6.62923E-05,9.231964E-05,1.219043E-04,5.692791E-05,4.677806E-07,40.06171,18.12102, 175, 1.03575757524595E-04, 1.03575757524595E-04, 1.03575757524595E-04, 1.03575757524595E-04
2/19/2020 12:16:44 AM,-1.045E-05,1.42956E-04,3.250628E-05,5.178291E-05,6.255663E-05,8.046907E-05,3.9535E-05,4.489341E-07,40.05624,18.12103, 175, 1.20574503679745E-04, 1.20574503679745E-04, 1.20574503679745E-04, 1.20574503679745E-04
2/19/2020 12:17:04 AM,-1.125E-05,1.298769E-04,1.556119E-05,4.971966E-05,7.144219E-05,9.507693E-05,4.01933E-05,4.455807E-07,40.07526,18.12103, 175, 1.08581909671193E-04, 1.08581909671193E-04, 1.08581909671193E-04, 1.08581909671193E-04
2/19/2020 12:17:24 AM,-9.631579E-06,1.467224E-04,6.809257E-05,8.992346E-05,1.266427E-04,1.491497E-04,7.290485E-05,4.636258E-07,40.07088,18.12103, 175, 1.28841276957246E-04, 1.28841276957246E-04, 1.28841276957246E-04, 1.28841276957246E-04
2/19/2020 12:17:44 AM,-7.65E-06,1.427571E-04,3.346136E-05,6.788966E-05,8.174848E-05,1.091294E-04,5.252772E-05,4.47311E-07,40.05231,18.12102, 175, 1.21272209787639E-04, 1.21272209787639E-04, 1.21272209787639E-04, 1.21272209787639E-04
2/19/2020 12:18:04 AM,-8.05E-06,2.989103E-04,2.826773E-04,2.722855E-04,3.397187E-04,3.88456E-04,2.144343E-04,4.383956E-07,40.03315,18.1209, 175, 2.79207724615117E-04, 2.79207724615117E-04, 2.79207724615117E-04, 2.79207724615117E-04
2/19/2020 12:18:24 AM,-0.0000085,1.352478E-04,2.880917E-05,5.375743E-05,6.85285E-05,1.014644E-04,4.481871E-05,4.392236E-07,40.01384,18.12091, 175, 1.14177513996583E-04, 1.14177513996583E-04, 1.14177513996583E-04, 1.14177513996583E-04
2/19/2020 12:18:44 AM,-1.005E-05,1.515096E-04,4.251928E-05,5.99694E-05,7.534317E-05,1.105735E-04,4.930552E-05,4.439942E-07,39.99467,18.121, 175, 1.2878790659779E-04, 1.2878790659779E-04, 1.2878790659779E-04, 1.2878790659779E-04
2/19/2020 12:19:04 AM,-1.005E-05,1.659314E-04,1.1412E-04,1.170751E-04,1.709412E-04,2.028863E-04,9.280513E-05,4.834607E-07,39.98923,18.12094, 175, 1.49862526323705E-04, 1.49862526323705E-04, 1.49862526323705E-04, 1.49862526323705E-04
2/19/2020 12:19:24 AM,-0.0000074,1.43503E-04,2.970263E-05,5.961443E-05,7.84495E-05,1.10018E-04,4.384858E-05,4.449969E-07,39.98994,18.1208, 175, 1.21228559705196E-04, 1.21228559705196E-04, 1.21228559705196E-04, 1.21228559705196E-04
2/19/2020 12:19:44 AM,-7.05E-06,1.272412E-04,2.776165E-05,5.70409E-05,7.43318E-05,1.021309E-04,4.284381E-05,4.44981E-07,39.99368,18.12091, 175, 1.07815304851465E-04, 1.07815304851465E-04, 1.07815304851465E-04, 1.07815304851465E-04
