Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
10,25611;0,00004265;0,000112471;0,001655254;0,006662204;0,02690077;0,03762052;0,03907218;6,75E-05
10,26167;0,0000424;0,000113933;0,001695216;0,006795574;0,02727262;0,03809142;0,03952523;6,71E-05
10,26722;0,0000425;0,000115161;0,00173384;0,006930701;0,02762372;0,03856255;0,04000612;6,77E-05
10,27278;0,0000419;0,000116413;0,00177428;0,007055733;0,02799373;0,03909708;0,0405727;6,94E-05
10,27833;0,00004215;0,000117699;0,001814422;0,007186149;0,02834643;0,03963918;0,04114713;7,11E-05
10,28389;0,00004245;0,000118997;0,001854791;0,007326145;0,02870608;0,04015444;0,04167443;7,20E-05
10,28944;0,00004245;0,00012024;0,001894951;0,007456751;0,02905352;0,04063256;0,04213962;7,28E-05
10,295;0,0000426;0,000121579;0,001938794;0,007591884;0,02942999;0,0411061;0,04260025;7,22E-05
10,30056;0,0000437;0,000123128;0,001982791;0,00774503;0,02979787;0,04159828;0,04304622;7,11E-05
10,30611;0,00004275;0,000124623;0,002028695;0,007898418;0,03018234;0,04211585;0,04351974;7,04E-05
10,31167;0,00004295;0,000126011;0,00207607;0,008055162;0,03059629;0,04270971;0,04410291;7,03E-05
10,31722;0,00004235;0,000127479;0,002122662;0,00819856;0,03099142;0,04331347;0,04472007;7,11E-05
10,32278;0,0000432;0,000128797;0,002168788;0,00833803;0,03138428;0,04392142;0,04535755;7,23E-05
10,32833;0,0000435;0,000130417;0,002218384;0,008497122;0,03182326;0,04462169;0,04610422;7,38E-05
10,33389;0,00004335;0,000132068;0,002271299;0,00866698;0,03228558;0,04535759;0,04689273;7,58E-05
10,33944;0,0000435;0,000133633;0,002321943;0,008824602;0,03270344;0,0460656;0,04767391;7,85E-05
10,345;0,00004385;0,000135147;0,002371204;0,008984835;0,03312336;0,04674887;0,04845489;8,18E-05
10,35056;0,00004465;0,000136764;0,002419534;0,009130177;0,03350284;0,04734972;0,04911572;8,44E-05
10,35611;0,00004365;0,000138355;0,002467079;0,009275973;0,03384539;0,04782761;0,04959584;8,51E-05
10,36167;0,00004395;0,000140093;0,002517652;0,009427182;0,03419864;0,04830973;0,05004552;8,51E-05
10,36722;0,00004465;0,000141683;0,002568639;0,009572957;0,03459021;0,04888753;0,05065572;8,68E-05
10,37278;0,000045;0,000143542;0,002622123;0,009724955;0,03498205;0,04948324;0,05128152;8,84E-05
10,37833;0,0000447;0,000145387;0,002676562;0,009887623;0,03529849;0,04998981;0,05177494;8,88E-05
10,38389;0,00004415;0,000147425;0,002731001;0,01005196;0,03536695;0,05045052;0,05220237;8,85E-05
10,38944;0,0000442;0,000149272;0,00278584;0,0102104;0,03576387;0,0509626;0,05272564;8,91E-05
10,395;0,0000429;0,000151579;0,002844455;0,01038478;0,03618436;0,05154505;0,0533108;8,96E-05
10,40056;0,00004355;0,000153567;0,00289833;0,01054963;0,03662405;0,05223942;0,05410356;9,26E-05
10,40611;0,00004355;0,000155458;0,00295084;0,01071156;0,03703311;0,05292798;0,05488254;9,53E-05
10,41167;0,0000428;0,000157531;0,003006932;0,01087566;0,03745727;0,0538137;0,05601338;0,000103924
10,41722;0,00004275;0,00015975;0,003063151;0,01103828;0,0379395;0,05523971;0,05804119;0,000125002
10,42278;0,00004325;0,000161866;0,003119797;0,01120319;0,03839996;0,05646309;0,0597338;0,000146628
10,42833;0,0000426;0,000164047;0,003177877;0,01135348;0,038806;0,05744782;0,06108411;0,000162318
10,43389;0,00004145;0,000166415;0,003235015;0,01150941;0,03916159;0,05811303;0,06193866;0,000169527
